X,Y
-0.0000100000034500,1.0000000000000000,
-0.0100134546067800,0.9993108172287610,
-0.0200238093018500,0.9986218846653470,
-0.0300410711049400,0.9979332020054410,
-0.0400652470449900,0.9972447689031750,
-0.0500963441635800,0.9965565850913760,
-0.0601343695150200,0.9958686501475920,
-0.0701793301663300,0.9951809637666520,
-0.0802312331973400,0.9944935257101380,
-0.0902900857006300,0.9938063355128980,
-0.1003558947816700,0.9931193929550830,
-0.1104286675587900,0.9924326976278250,
-0.1205084111632200,0.9917462493153290,
-0.1305951327391600,0.9910600476075540,
-0.1406888394437800,0.9903740920877050,
-0.1507895384472600,0.9896883826767870,
-0.1608972369328200,0.9890029188153060,
-0.1710119420968300,0.9883177002451410,
-0.1811336611487500,0.9876327266020520,
-0.1912624013111500,0.9869479976648600,
-0.2013981698199000,0.9862635129367670,
-0.2115409739240300,0.9855792723182100,
-0.2216908208858900,0.9848952753496390,
-0.2318477179810600,0.9842115215155820,
-0.2420116724985300,0.9835280110018670,
-0.2521826917407300,0.9828447428520080,
-0.2623607830233600,0.9821617171450130,
-0.2725459536756300,0.9814789335471560,
-0.2827382110403000,0.9807963912420450,
-0.2929375624736100,0.9801140907573310,
-0.3031440153454100,0.9794320309203790,
-0.3133575770391000,0.9787502119597160,
-0.3235782549517200,0.9780686332759930,
-0.3338060564940200,0.9773872947192020,
-0.3440409890905100,0.9767061955989990,
-0.3542830601794300,0.9760253360020740,
-0.3645322772126800,0.9753447152835670,
-0.3747886476562300,0.9746643333928620,
-0.3850521789898200,0.9739841900988080,
-0.3953228787070300,0.9733042846928250,
-0.4056007543154500,0.9726246167163850,
-0.4158858133366200,0.9719451864227630,
-0.4261780633062300,0.9712659929674250,
-0.4364775117738900,0.9705870363317990,
-0.4467841663033200,0.9699083160072070,
-0.4570980344725100,0.9692298315751930,
-0.4674191238735300,0.9685515831231610,
-0.4777474421128300,0.9678735702099730,
-0.4880829968109500,0.9671957918558990,
-0.4984257956027600,0.9665182483630900,
-0.5087758461375700,0.9658409390516930,
-0.5191331560789500,0.9651638642344890,
-0.5294977331050500,0.9644870230277400,
-0.5398695849083200,0.9638104149565880,
-0.5502487191958300,0.9631340402074770,
-0.5606351436891900,0.9624578980696040,
-0.5710288661246400,0.9617819879897720,
-0.5814298942529700,0.9611063104345390,
-0.5918382358396100,0.9604308644687190,
-0.6022538986647900,0.9597556498610280,
-0.6126768905234700,0.9590806658655490,
-0.6231072192255000,0.9584059133143940,
-0.6335448925952900,0.9577313907461950,
-0.6439899184725700,0.9570570979852140,
-0.6544423047115700,0.9563830354104420,
-0.6649020591817200,0.9557092017479680,
-0.6753691897673800,0.9550355973014050,
-0.6858437043680000,0.9543622215679810,
-0.6963256108981600,0.9536890742717030,
-0.7068149172874700,0.9530161551236630,
-0.7173116314812600,0.9523434632522820,
-0.7278157614389400,0.9516709992338400,
-0.7383273151360500,0.9509987617969330,
-0.7488463005632900,0.9503267511857110,
